Sample,Site,Age,G-I,MIS,SampleNum,GI-Age,Acantharea,Phaeodarea,Polycystines,Taxopodida
1534_1H1_5,U1534,0.7,I,1,1,I-0.7,0,0,0,0
1534_1H1_150,U1534,10,I,1,3,I-10,0,0.04,0.96,0
1534_1H2_150,U1534,16,I,1,4,I-16,0,0,0,0
1534_1H3_150,U1534,19,G,2,5,G-19,0.227272727,0.227272727,0.545454545,0
1534_1H4_101,U1534,20,G,2,6,G-20,0.183673469,0.12244898,0.693877551,0
1534_2H2_150,U1534,55,G,3,7,G-55,0.222222222,0.074074074,0.703703704,0
1534_2H4_150,U1534,77,I,5a,8,I-77,0.105263158,0.026315789,0.868421053,0
1534_2H6_71,U1534,108,I,5d,9,I-108,0.0625,0.1875,0.75,0
1534_3H2_150,U1534,144,G,6,10,G-144,0.15625,0.015625,0.828125,0
1534_3H4_150,U1534,165,G,6,11,G-165,0.222222222,0,0.777777778,0
1534_4H2_150,U1534,240,T,7,12,I-240,0.115384615,0.019230769,0.865384615,0
1534_4H4_150,U1534,250,G,8,13,G-250,0.05,0,0.95,0
1534_4H6_129,U1534,333,T,9,14,I-333,0,0,0,0
1534_5H2_150,U1534,400,I,11,15,I-400,0,0,0,0
1534_5H4_150,U1534,411,I,11,16,I-411,0,0.857142857,0.142857143,0
1534_10H6_120,U1534,700,I,17,17,I-700,0,0,0,0
1536_1H1_5,U1536,0.1,I,1,2,I-0.1,0.5,0.5,0,0
1536_1H3_150,U1536,4,I,1,3,I-4,0.153846154,0.538461538,0.307692308,0
1536_3H6_138,U1536,53,G,3,4,G-53,0.157894737,0.421052632,0.315789474,0.105263158
1536_4H6_141,U1536,84,I,5b,5,I-84,0.166666667,0.333333333,0.5,0
1536_5H6_150,U1536,101,I,5d,6,I-101,0,0.333333333,0.666666667,0
1536_6H6_150,U1536,129,G,6,7,G-129,0.142857143,0.142857143,0.714285714,0
1536_7H2_150,U1536,141,G,6,8,G-141,0.133333333,0.133333333,0.733333333,0
1536_8H6_126,U1536,290,G,8,9,G-290,0.05,0.1,0.75,0.1
1536_9H2_150,U1536,300,G,8,10,G-300,0,0,0,0
1536_10H5_150,U1536,340,G,10,11,G-340,0,0.043478261,0.956521739,0
1536_11H2_150,U1536,370,G,10,12,G-370,0,0.666666667,0.333333333,0
1536_11H6_150,U1536,404,I,11,13,I-404,0.125,0.1875,0.6875,0
1536_12H2_150,U1536,540,G,14,14,G-540,0,0,1,0
1538_1H1_5,U1538,0.1,I,1,2,I-0.1,0,1,0,0
1538_1H1_150,U1538,1.4,I,1,3,I-1.4,0,0.333333333,0.666666667,0
1538_1H2_150,U1538,2.8,I,1,4,I-2.8,0.023255814,0.302325581,0.674418605,0
1538_1H3_150,U1538,4.4,I,1,5,I-4.4,0.153846154,0.461538462,0.384615385,0
1538_2H1_150,U1538,7.1,I,1,6,I-7.1,0.039215686,0.215686275,0.745098039,0
1538_2H2_150,U1538,8.4,I,1,7,I-8.4,0,0.75,0.25,0
1538_2H3_150,U1538,9.8,I,1,8,I-9.8,0,0.25,0.75,0
1538_2H4_150,U1538,11.3,I,1,9,I-11.3,0.3,0.1,0.6,0
1538_2H5_150,U1538,12.7,I,1,10,I-12.7,0.230769231,0.538461538,0.230769231,0
1638_2H6_100,U1538,14.5,I,1,11,I-14.5,0.08,0.68,0.24,0
1538_3H2_150,U1538,34,G,3,12,G-34,0,0.166666667,0.833333333,0
1538_3H4_150,U1538,44.7,G,3,13,G-44.7,0.111111111,0.444444444,0.444444444,0
1538_4H1_150,U1538,59,G,4,14,G-59,0.166666667,0.208333333,0.625,0
1538_4H2_150,U1538,63.9,G,4,15,G-63.9,0.083333333,0.104166667,0.791666667,0.020833333
1538_4H3_150,U1538,74,I,5a,16,I-74,0.2,0.114285714,0.685714286,0
1538_5H2_150,U1538,105,I,5d,17,I-105,0.141176471,0.376470588,0.470588235,0.011764706
1538_5H4_150,U1538,118,I,5e,18,I-118,0.083333333,0.291666667,0.625,0
1538_5H5-110,U1538,126,T,6,19,G-126,0.076923077,0.153846154,0.769230769,0
1538_6H1_149,U1538,140,G,6,20,G-140,0.088607595,0.17721519,0.734177215,0
1538_6F2_151,U1538,151,G,6,21,G-151,0.086956522,0.347826087,0.565217391,0
1538_7H1_150,U1538,169,G,6,22,G-169,0.24,0.24,0.52,0
1538_7H2_150,U1538,177,G,6,23,G-177,0.123595506,0.157303371,0.707865169,0.011235955
1538_7H3_150,U1538,181,G,6,24,G-181,0.090909091,0.181818182,0.727272727,0
1538_7H4_150,U1538,188,T,6,25,G-188,0.056603774,0.169811321,0.773584906,0
1538_7H5_150,U1538,195,T,7,26,I-195,0,0,0.75,0.25
1538_7H6_120,U1538,203,I,7,27,I-203,0,0,0,0
1538_8H1_150,U1538,210,I,7,28,I-210,0.25,0.125,0.625,0
1538_8H2_150,U1538,214,I,7,29,I-214,0.2,0.266666667,0.533333333,0
1538_8H3_150,U1538,215,I,7,30,I-215,0,0,0,0
1538_10H5_150,U1538,262,G,8,31,G-262,0.333333333,0.333333333,0.333333333,0
1538_14H1_150,U1538,392,I,11,32,I-392,0,0,0,0
1538_14H5_150,U1538,417,T,11,33,I-417,0.142857143,0,0.857142857,0
